participant;percentage;time;pos_x_right;pos_y_right;dil_right;pos_x_left;pos_y_left;dil_left;brightness;fov;trial;;
Marion;30;4.24;-0.01336399;-0.02210808;5.563629;0.06308591;-0.01444525;5.454208;1;-1;1;;
Marion;30;4.26;-0.01295847;-0.02170938;5.459778;0.0603748;-0.01672316;5.364822;1;-1;1;;
Marion;30;4.28;-0.01379991;-0.02015814;5.517746;0.06113183;-0.01154587;5.399673;1;-1;1;;
Marion;30;4.3;-0.01219481;-0.01762718;5.405884;0.06016117;-0.01276526;5.426788;1;-1;1;;
Marion;30;4.32;-0.01106679;-0.01464465;5.632309;0.06029701;-0.01279849;5.489899;1;-1;1;;
Marion;30;4.34;-0.01468298;-0.01576421;5.574661;0.05982727;-0.01514184;5.503113;1;-1;1;;
Marion;30;4.36;-0.01510885;-0.01729375;5.528275;0.06012475;-0.01709545;5.48616;1;-1;1;;
Marion;30;4.38;-0.01819369;-0.01784167;5.52504;0.05930263;-0.01569694;5.54747;1;-1;1;;
Marion;30;4.4;-0.01829302;-0.01916838;5.611374;0.05541116;-0.01501405;5.399292;1;-1;1;;
Marion;30;4.42;-0.02195275;-0.02215722;5.435837;0.05934328;-0.01446193;5.346542;1;-1;1;;
Marion;30;4.44;-0.01912776;-0.01944423;5.465881;0.056337;-0.01117343;5.526688;1;-1;1;;
Marion;30;4.46;-0.01912799;-0.01944423;5.465881;0.0563367;-0.01117343;5.526688;1;-1;1;;
Marion;30;4.48;-0.01734808;-0.0220204;5.530396;0.05213022;-0.01139975;5.548172;1;-1;1;;
Marion;30;4.5;-0.01397449;-0.0233627;5.59552;0.05444944;-0.01033935;5.448074;1;-1;1;;
Marion;30;4.52;-0.01345167;-0.02379739;5.444199;0.05839616;-0.01120913;5.533386;1;-1;1;;
Marion;30;4.54;-0.01223996;-0.02489868;5.517365;0.05410475;-0.009733319;5.523453;1;-1;1;;
Marion;30;4.56;-0.01773357;-0.02328053;5.476273;0.05461866;-0.01121512;5.458176;1;-1;1;;
Marion;30;4.58;-0.01657993;-0.0258843;5.452484;0.05307466;-0.009951174;5.537018;1;-1;1;;
Marion;30;4.6;-0.02378312;-0.02410269;5.509262;0.05561239;-0.01059777;5.661438;1;-1;1;;
Marion;30;4.62;-0.01934525;-0.02218157;5.657715;0.05094361;-0.0085904;5.48967;1;-1;1;;
Marion;30;4.64;-0.01994929;-0.03085905;5.230835;0.04878169;-0.01537466;5.465118;1;-1;1;;
Marion;30;4.66;-0.01616842;-0.06177625;4.428711;0.04919857;-0.04939494;4.621628;1;-1;1;;
Marion;30;4.68;-1;-0.171875;-1;-1;-0.171875;-1;1;-1;1;;
Marion;30;4.7;1;-0.1015625;-1;1;-0.1015625;-1;1;-1;1;;
Marion;30;4.72;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;4.74;-0.03382915;-0.08313575;4.027069;-0.5;-0.5;-1;1;-1;1;;
Marion;30;4.76;-0.01763287;-0.02831015;5.288712;-0.5;-0.5;-1;1;-1;1;;
Marion;30;4.78;-0.01464301;-0.02172378;5.639221;0.05958468;-0.01640338;5.355148;1;-1;1;;
Marion;30;4.8;-0.01145241;-0.02414334;5.641708;0.05839592;-0.01819047;5.59938;1;-1;1;;
Marion;30;4.82;-0.01145247;-0.0241434;5.641708;0.05839592;-0.01819053;5.59938;1;-1;1;;
Marion;30;4.84;-0.009263694;-0.02770084;5.699799;0.05345279;-0.01627472;5.559601;1;-1;1;;
Marion;30;4.86;-0.005963922;-0.02554607;5.792831;0.05812472;-0.01877975;5.517044;1;-1;1;;
Marion;30;4.88;-0.005245328;-0.02052316;5.854416;0.07321209;-0.06738299;5.239471;1;-1;1;;
Marion;30;4.9;-0.007697195;-0.01867315;5.674118;0.03202349;-0.05610883;5.288788;1;-1;1;;
Marion;30;4.92;-0.01207975;-0.02256832;5.690308;0.06042308;-0.01427811;5.347351;1;-1;1;;
Marion;30;4.94;-0.01029384;-0.01855263;5.669739;0.05755883;-0.01057285;5.402924;1;-1;1;;
Marion;30;4.96;-0.01216349;-0.0167205;5.696991;0.05593681;0.002871215;5.786011;1;-1;1;;
Marion;30;4.98;-0.009585738;-0.0179027;5.591553;0.05940312;-0.005301803;5.597748;1;-1;1;;
Marion;30;5;-0.009121865;-0.01768762;5.608215;0.05719316;-0.003823012;5.574905;1;-1;1;;
Marion;30;5.02;-0.01359114;-0.0134744;5.654556;0.05817556;-0.01139736;5.500793;1;-1;1;;
Marion;30;5.04;-0.01474389;-0.01640248;5.625961;0.05630547;-0.01414785;5.351654;1;-1;1;;
